Période;Capteurs;Vitesse;Production;Accumulation
11;sensor_zone_2_3;7.867;953.5960666666666;121.22150555555555
11;sensor_zone_3_1;9.274;638.5805722222223;68.85404444444444
11;sensor_zone_3_2;8.043;1005.8641166666666;125.05799999999999
11;sensor_zone_3_3;8.973;647.8960222222222;72.20774444444444
12;sensor_network;8.037;15172.805455555555;1887.7565055555553
12;sensor_zone_1_1;9.279;646.70425;69.69381666666666
12;sensor_zone_1_2;7.803;1049.5317277777779;134.50289444444445
12;sensor_zone_1_3;8.894;683.9822555555555;76.90217222222222
12;sensor_zone_2_1;7.997;1163.9657722222223;145.55060555555556
12;sensor_zone_2_2;6.355;2495.9585722222223;392.7477777777778
12;sensor_zone_2_3;8.037;1044.2006055555555;129.92870555555555
12;sensor_zone_3_1;9.304;646.5005444444445;69.48276666666666
12;sensor_zone_3_2;8.105;1029.4373055555554;127.01783888888889
12;sensor_zone_3_3;9.232;629.4130055555555;68.17651666666666
13;sensor_network;7.877;16189.515872222222;2055.2409666666667
13;sensor_zone_1_1;8.722;704.2808888888889;80.75106111111111
13;sensor_zone_1_2;7.904;1156.9620055555556;146.37059444444444
13;sensor_zone_1_3;8.725;747.69535;85.6995
13;sensor_zone_2_1;7.959;1215.23035;152.68284444444444
13;sensor_zone_2_2;6.071;2522.6191333333336;415.5089222222222
13;sensor_zone_2_3;7.83;1226.9062722222222;156.7018
13;sensor_zone_3_1;9.066;674.200011111111;74.36767777777779
13;sensor_zone_3_2;7.73;1154.4384333333333;149.35475
13;sensor_zone_3_3;9.077;655.2326666666667;72.18788888888889
14;sensor_network;7.808;17287.57882222222;2214.1578722222225
14;sensor_zone_1_1;8.647;817.6069555555556;94.55318333333334
14;sensor_zone_1_2;7.657;1340.3515277777778;175.0482111111111
14;sensor_zone_1_3;8.526;838.6396944444443;98.35755555555556
14;sensor_zone_2_1;7.514;1207.4337500000001;160.69927222222222
14;sensor_zone_2_2;6.18;2531.5133833333334;409.6354444444445
14;sensor_zone_2_3;7.442;1235.245327777778;165.97220555555555
14;sensor_zone_3_1;8.426;778.8327944444444;92.43343333333334
14;sensor_zone_3_2;7.616;1287.5043833333332;169.0484111111111
14;sensor_zone_3_3;8.636;1037.8258055555555;120.17874444444443
15;sensor_network;7.757;18356.715977777778;2366.412538888889
15;sensor_zone_1_1;8.629;916.5139666666666;106.21643888888889
15;sensor_zone_1_2;7.457;1279.69135;171.60875555555555
15;sensor_zone_1_3;8.47;959.7179444444445;113.30935555555556
15;sensor_zone_2_1;7.521;1240.0275666666666;164.8840111111111
15;sensor_zone_2_2;6.428;2677.2586277777777;416.52551111111114
15;sensor_zone_2_3;7.308;1259.1549666666667;172.30282777777776
15;sensor_zone_3_1;8.706;963.4534222222222;110.66094444444445
15;sensor_zone_3_2;7.338;1212.6648166666666;165.26312222222222
15;sensor_zone_3_3;8.719;1164.0976;133.51312777777778
16;sensor_network;7.739;19279.64476111111;2491.121238888889
16;sensor_zone_1_1;8.791;930.3526277777778;105.83577777777776
16;sensor_zone_1_2;7.463;1191.4111444444445;159.65000555555557
16;sensor_zone_1_3;8.709;998.5428222222223;114.6620611111111
16;sensor_zone_2_1;7.719;1246.358761111111;161.4624611111111
16;sensor_zone_2_2;6.366;2575.3318444444444;404.55241666666666
16;sensor_zone_2_3;7.411;1374.989011111111;185.52179999999998
16;sensor_zone_3_1;8.742;1010.3801277777778;115.57374444444446
16;sensor_zone_3_2;7.489;1264.1095055555556;168.79810555555557
16;sensor_zone_3_3;8.715;1061.76195;121.83023333333333
17;sensor_network;7.9;20903.663266666666;2646.162838888889
17;sensor_zone_1_1;8.757;963.0647388888889;109.97131666666667
17;sensor_zone_1_2;7.525;1247.2822555555556;165.74615
17;sensor_zone_1_3;8.659;940.8464611111111;108.6491388888889
17;sensor_zone_2_1;7.478;1195.3740555555555;159.84686666666667
17;sensor_zone_2_2;6.55;2645.2573777777775;403.86805555555554
17;sensor_zone_2_3;7.538;1351.415261111111;179.27456666666666
17;sensor_zone_3_1;8.577;1013.9463222222222;118.21589444444444
17;sensor_zone_3_2;7.777;1333.8596333333332;171.51386666666667
17;sensor_zone_3_3;8.771;1035.4732444444444;118.05012777777779
18;sensor_network;7.954;22847.34425;2872.4620944444446
18;sensor_zone_1_1;8.776;1075.6794277777776;122.56618888888889
18;sensor_zone_1_2;7.15;1201.2134;167.99362777777776
18;sensor_zone_1_3;8.906;1004.4890055555557;112.78256111111112
18;sensor_zone_2_1;7.637;1264.4561277777777;165.58020555555555
18;sensor_zone_2_2;6.344;2695.6657277777776;424.8831944444445
18;sensor_zone_2_3;7.407;1357.7374;183.31211666666664
18;sensor_zone_3_1;8.852;1154.9348777777777;130.47088888888888
18;sensor_zone_3_2;7.631;1359.33005;178.12255555555555
18;sensor_zone_3_3;8.901;1098.034411111111;123.36605
19;sensor_network;8.028;24795.53812222222;3088.571205555556
19;sensor_zone_1_1;8.871;1264.6596444444444;142.56584444444445
19;sensor_zone_1_2;7.616;1458.6610777777778;191.53534444444446
19;sensor_zone_1_3;8.976;1164.8792555555556;129.7789888888889
19;sensor_zone_2_1;7.853;1701.1421444444445;216.61731666666665
19;sensor_zone_2_2;6.567;2585.7050333333336;393.7220722222222
19;sensor_zone_2_3;7.49;1625.8684555555556;217.06797777777777
19;sensor_zone_3_1;8.97;1257.4343;140.18705555555556
19;sensor_zone_3_2;7.517;1635.0046833333333;217.51154444444444
19;sensor_zone_3_3;8.655;1244.1714333333334;143.75808333333333
20;sensor_network;7.989;26671.275222222223;3338.6985666666665
20;sensor_zone_1_1;8.872;1413.7548777777777;159.35484444444444
20;sensor_zone_1_2;7.544;1838.7204944444445;243.7452888888889
20;sensor_zone_1_3;8.926;1153.8498166666666;129.2624388888889
20;sensor_zone_2_1;7.582;2097.382077777778;276.6231055555555
20;sensor_zone_2_2;6.575;2722.2614722222224;414.0116055555556
20;sensor_zone_2_3;7.576;1723.5375555555556;227.48632777777777
20;sensor_zone_3_1;9.167;1321.91095;144.20705555555557
20;sensor_zone_3_2;7.402;1748.9939388888888;236.29267777777778
20;sensor_zone_3_3;8.657;1218.1913555555554;140.71554444444445
21;sensor_network;7.916;28475.28791111111;3597.3139166666665
21;sensor_zone_1_1;8.961;1439.7086388888888;160.6568388888889
21;sensor_zone_1_2;7.743;2087.9547722222223;269.6569333333333
21;sensor_zone_1_3;8.829;1297.4319444444445;146.95282777777777
21;sensor_zone_2_1;7.569;2099.3849777777777;277.3507666666667
21;sensor_zone_2_2;6.3;3451.8224111111113;547.8788388888889
21;sensor_zone_2_3;7.531;1673.6768222222222;222.2244
21;sensor_zone_3_1;9.145;1246.1445444444446;136.26778333333334
21;sensor_zone_3_2;7.655;1911.3271777777777;249.68342777777778
21;sensor_zone_3_3;8.855;1353.0319722222223;152.79330555555555
22;sensor_network;7.588;28875.10093888889;3805.4212777777775
22;sensor_zone_1_1;8.86;1357.9172666666668;153.26388888888889
22;sensor_zone_1_2;7.558;2109.8014555555555;279.1549444444444
22;sensor_zone_1_3;8.818;1430.6008833333335;162.23008333333334
22;sensor_zone_2_1;7.331;2033.1842000000001;277.3473388888889
22;sensor_zone_2_2;5.317;3573.954116666667;672.1736611111112
22;sensor_zone_2_3;7.454;1863.1463222222221;249.95822222222225
22;sensor_zone_3_1;9.193;1361.5661055555556;148.11572777777778
22;sensor_zone_3_2;7.614;2103.3148333333334;276.24659444444444
22;sensor_zone_3_3;9.091;1402.01865;154.2151
23;sensor_network;7.34;29381.45351111111;4002.9359222222224
23;sensor_zone_1_1;8.872;1291.1516722222223;145.52592777777778
23;sensor_zone_1_2;7.544;2431.3297722222223;322.2728166666667
23;sensor_zone_1_3;8.751;1452.8639222222223;166.0272388888889
23;sensor_zone_2_1;7.242;1968.8868944444444;271.8713
23;sensor_zone_2_2;4.793;3671.148622222222;765.9435444444443
23;sensor_zone_2_3;7.435;2073.618911111111;278.90683333333334
23;sensor_zone_3_1;8.927;1353.2906833333334;151.59061666666668
23;sensor_zone_3_2;7.705;2441.4479666666666;316.8602388888889
23;sensor_zone_3_3;8.952;1415.6851444444444;158.13738333333333
24;sensor_network;7.087;29772.29687222222;4201.066533333334
24;sensor_zone_1_1;8.664;1287.765311111111;148.6255611111111
24;sensor_zone_1_2;7.514;2345.9104166666666;312.20893333333333
24;sensor_zone_1_3;8.497;1490.1821333333332;175.37094444444443
24;sensor_zone_2_1;6.861;1834.8850888888887;267.44940555555553
24;sensor_zone_2_2;4.499;4032.6617055555553;896.400388888889
24;sensor_zone_2_3;7.329;2130.079872222222;290.6477777777778
24;sensor_zone_3_1;8.469;1519.005088888889;179.36239444444445
24;sensor_zone_3_2;7.456;2170.5218055555556;291.1224722222222
24;sensor_zone_3_3;8.504;1475.953427777778;173.5635611111111
25;sensor_network;6.75;29478.640372222224;4367.059477777778
25;sensor_zone_1_1;8.705;1370.5210333333332;157.44157222222222
25;sensor_zone_1_2;7.412;2166.157866666667;292.25169999999997
25;sensor_zone_1_3;8.376;1565.5476;186.90820555555555
