Zone_1_1;Zone_1_2;Zone_1_3;Zone_2_1;Zone_2_2;Zone_2_3;Zone_3_1;Zone_3_2;Zone_3_3
T_NS_6_6;T_NS_6_13;T_NS_6_20;T_NS_13_6;T_NS_13_13;T_NS_13_20;T_NS_20_6;T_NS_20_13;T_NS_20_20
T_SN_23_6;T_SN_23_13;T_SN_23_20;T_SN_16_6;T_SN_16_13;T_SN_16_20;T_SN_9_6;T_SN_9_13;T_SN_9_20
T_OE_7_6;T_OE_7_13;T_OE_7_20;T_OE_14_6;T_OE_14_13;T_OE_14_20;T_OE_21_6;T_OE_21_13;T_OE_21_20
T_EO_7_23;T_EO_7_16;T_EO_7_9;T_EO_14_23;T_EO_14_16;T_EO_14_9;T_EO_21_23;T_EO_21_16;T_EO_21_9
T_NS_6_7;T_NS_6_14;T_NS_6_21;T_NS_13_7;T_NS_13_14;T_NS_13_21;T_NS_20_7;T_NS_20_14;T_NS_20_21
T_SN_23_7;T_SN_23_14;T_SN_23_21;T_SN_16_7;T_SN_16_14;T_SN_16_21;T_SN_9_7;T_SN_9_14;T_SN_9_21
T_OE_8_6;T_OE_8_13;T_OE_8_20;T_OE_15_6;T_OE_15_13;T_OE_15_20;T_OE_22_6;T_OE_22_13;T_OE_22_20
T_EO_8_23;T_EO_8_16;T_EO_8_9;T_EO_15_23;T_EO_15_16;T_EO_15_9;T_EO_22_23;T_EO_22_16;T_EO_22_9
T_NS_6_8;T_NS_6_15;T_NS_6_22;T_NS_13_8;T_NS_13_15;T_NS_13_22;T_NS_20_8;T_NS_20_15;T_NS_20_22
T_SN_23_8;T_SN_23_15;T_SN_23_22;T_SN_16_8;T_SN_16_15;T_SN_16_22;T_SN_9_8;T_SN_9_15;T_SN_9_22
T_OE_9_6;T_OE_9_13;T_OE_9_20;T_OE_16_6;T_OE_16_13;T_OE_16_20;T_OE_23_6;T_OE_23_13;T_OE_23_20
T_EO_9_23;T_EO_9_16;T_EO_9_9;T_EO_16_23;T_EO_16_16;T_EO_16_9;T_EO_23_23;T_EO_23_16;T_EO_23_9
T_NS_6_9;T_NS_6_16;T_NS_6_23;T_NS_13_9;T_NS_13_16;T_NS_13_23;T_NS_20_9;T_NS_20_16;T_NS_20_23
T_SN_23_9;T_SN_23_16;T_SN_23_23;T_SN_16_9;T_SN_16_16;T_SN_16_23;T_SN_9_9;T_SN_9_16;T_SN_9_23
T_OE_10_6;T_OE_10_13;T_OE_10_20;T_OE_17_6;T_OE_17_13;T_OE_17_20;T_OE_24_6;T_OE_24_13;T_OE_24_20
T_EO_10_23;T_EO_10_16;T_EO_10_9;T_EO_17_23;T_EO_17_16;T_EO_17_9;T_EO_24_23;T_EO_24_16;T_EO_24_9
T_NS_6_10;T_NS_6_17;T_NS_6_24;T_NS_13_10;T_NS_13_17;T_NS_13_24;T_NS_20_10;T_NS_20_17;T_NS_20_24
T_SN_23_10;T_SN_23_17;T_SN_23_24;T_SN_16_10;T_SN_16_17;T_SN_16_24;T_SN_9_10;T_SN_9_17;T_SN_9_24
T_OE_4_7;T_OE_4_14;T_OE_4_21;T_OE_11_7;T_OE_11_14;T_OE_11_21;T_OE_18_7;T_OE_18_14;T_OE_18_21
T_EO_4_22;T_EO_4_15;T_EO_4_8;T_EO_11_22;T_EO_11_15;T_EO_11_8;T_EO_18_22;T_EO_18_15;T_EO_18_8
T_NS_7_4;T_NS_7_11;T_NS_7_18;T_NS_14_4;T_NS_14_11;T_NS_14_18;T_NS_21_4;T_NS_21_11;T_NS_21_18
